Sno, Stock Price, Option Price, Hedging Error
0,100,4.39168,0.0291079
1,99.7923,4.26967,0.0527853
2,99.1391,3.96629,-0.00166299
3,96.6336,3.00384,-0.142021
4,100.285,4.37825,-0.1203
5,99.5001,4.01312,-0.102767
6,100.515,4.40902,-0.0810315
7,99.714,4.03328,-0.135356
8,102.267,5.14203,-0.103452
9,102.115,5.03229,-0.20839
10,105.343,6.67332,-0.239749
11,107.596,7.9664,-0.297455
12,104.922,6.36197,-0.282068
13,106.11,6.99556,-0.251148
14,106.584,7.2351,-0.227646
15,107.484,7.74066,-0.202282
16,106.669,7.20624,-0.205581
17,108.376,8.22143,-0.196105
18,109.772,9.0988,-0.166758
19,109.188,8.66911,-0.136079
20,108.671,8.29106,-0.152072
21,106.688,7.01535,-0.145318
22,105.243,6.1412,-0.144778
23,103.677,5.26395,-0.109442
24,103.506,5.1362,-0.105411
25,105.01,5.88852,-0.0691198
26,104.887,5.77974,-0.0424457
27,104.067,5.3009,-0.0163991
28,104.944,5.72634,0.00182434
29,103.821,5.08984,0.0311717
30,104.573,5.44081,0.0607015
31,103.846,5.01758,0.0926645
32,103.239,4.67034,0.061268
33,101.153,3.66926,0.0884028
34,101.982,3.99188,0.103939
35,100.828,3.45085,0.100444
36,102.466,4.1291,0.133023
37,101.875,3.81727,0.160061
38,101.064,3.42488,0.145327
39,99.2969,2.69797,0.180685
40,99.589,2.76428,0.212463
41,99.0792,2.5421,0.208127
42,100.719,3.11496,0.236085
43,101.577,3.42688,0.269048
44,102.273,3.6877,0.293077
45,101.306,3.22419,0.333471
46,101.473,3.24959,0.374527
47,101.607,3.26093,0.410929
48,101.1,3.00588,0.395528
49,102.937,3.75952,0.432763
50,103.571,4.01408,0.465886
51,102.801,3.59964,0.215252
52,98.8016,2.00552,0.0770161
53,102.027,3.15844,0.103679
54,101.088,2.72478,0.141542
55,100.578,2.48322,0.138944
56,99.0583,1.91735,0.152107
57,100.358,2.30953,0.195718
58,100.354,2.26112,0.239754
59,100.483,2.25952,0.284263
60,100.675,2.28057,0.189151
61,103.392,3.36076,0.236316
62,103.817,3.50898,0.239679
63,105.367,4.25491,0.280757
64,104.633,3.80541,0.331269
65,104.297,3.57555,0.37241
66,105.085,3.92642,0.424988
67,104.776,3.70293,0.398767
68,106.727,4.74384,0.454252
69,106.655,4.63858,0.487091
70,105.602,3.9636,0.347075
71,102.681,2.46809,0.395047
72,102.108,2.17421,0.259551
73,104.993,3.43835,0.306454
74,104.23,2.98283,0.368958
75,104.228,2.91441,0.106484
76,107.861,4.9502,-0.0504754
77,111.006,7.19752,-0.0923679
78,113.261,9.02947,-0.117322
79,115.398,10.906,-0.204069
80,111.963,7.81411,-0.165307
81,111.131,7.06517,-0.133618
82,112.034,7.76641,-0.0975532
83,111.078,6.90244,-0.0452847
84,110.946,6.73194,0.00808987
85,110.867,6.6038,0.0605428
86,111.001,6.65529,0.101572
87,109.998,5.75374,0.139923
88,110.87,6.4187,0.1847
89,109.925,5.55187,0.235393
90,108.95,4.68211,0.30294
91,108.197,4.01042,0.37445
92,107.338,3.27926,0.472974
93,107.489,3.28063,0.544283
94,106.425,2.42267,0.420515
95,108.668,4.0074,0.510513
96,108.256,3.5578,0.434869
97,110.276,5.34063,0.444087
98,110.988,6.01201,0.450375
99,110.349,5.35968,0
